code_commune,commune_labellisee,nom,code_departement,departement,fleurs,geo_point,url,adresse_ligne3,adresse_ligne4,adresse_ligne5,adresses_codepostal,adresses_commune,
77132,Coupvray,Coupvray,77,Seine-et-Marne,2,48.8917007446,2.79327011108,https://www.coupvray.fr/,,Place de la Mairie,,77700,Coupvray
77174,Everly,Everly,77,Seine-et-Marne,1,48.4665985107,3.25203990936,http://everly.fr/,,16 rue de la Mairie,,77157,Everly
77313,Montmachoux,Montmachoux,77,Seine-et-Marne,1,48.3195991516,2.99359202385,https://www.montmachoux.fr/,,5 rue de l'École,,77940,Montmachoux
77320,Mouroux,Mouroux,77,Seine-et-Marne,2,48.8212013245,3.03804993629,https://www.ville-mouroux.fr/,,Place de la Mairie,,77120,Mouroux
77373,Pontault-Combault,Pontault-Combault,77,Seine-et-Marne,2,48.8031355,2.6108069,http://www.pontault-combault.fr/,,107 avenue de la République,,77340,Pontault-Combault
77449,Serris,Serris,77,Seine-et-Marne,3,48.84400177,2.78820991516,http://www.serris.fr/,,2 place Antoine-Mauny,BP 15,77700,Serris
77479,Vaires-sur-Marne,Vaires-sur-Marne,77,Seine-et-Marne,3,48.8733520508,2.63991498947,http://www.vairessurmarne.com/,,26 boulevard de Lorraine,,77360,Vaires-sur-Marne
77518,Villiers-en-Bière,Villiers-en-Bière,77,Seine-et-Marne,1,48.4940986633,2.59870004654,https://www.mairievilliersenbiere.fr/,,Place de la Mairie,,77190,Villiers-en-Bière
78165,Les Clayes-sous-Bois,Les Clayes-sous-Bois,78,Yvelines,2,48.821312,1.986541,http://www.lesclayessousbois.fr,,Place Charles-de-Gaulle,,78340,Les Clayes-sous-Bois
78498,Poissy,Poissy,78,Yvelines,3,48.927701,2.042802,http://www.ville-poissy.fr,,Place de la République,BP 6308,78303,Poissy Cedex
91021,Arpajon,Arpajon,91,Essonne,3,48.5891648,2.2484735,http://www.arpajon91.fr,,70 Grande rue,,91290,Arpajon
91097,Boussy-Saint-Antoine,Boussy-Saint-Antoine,91,Essonne,1,48.6889478,2.530224,http://www.ville-boussy.fr,,5 place des Droits-de-l'Homme,,91800,Boussy-Saint-Antoine
91377,Massy,Massy,91,Essonne,3,48.7302017212,2.27223992348,http://www.ville-massy.fr,,1 avenue du Général-de-Gaulle,,91300,Massy
91432,Morangis,Morangis,91,Essonne,2,48.7046877,2.3322869,http://www.morangis91.com,,12 avenue de la République,,91420,Morangis
91649,Vert-le-Petit,Vert-le-Petit,91,Essonne,1,48.5508995056,2.3666100502,http://www.vertlepetit.fr,,4 rue du Général-Leclerc,BP 6,91710,Vert-le-Petit
91691,Yerres,Yerres,91,Essonne,3,48.7167015076,2.48762011528,http://www.yerres.fr,,60 rue Charles-de-Gaulle,,91335,Yerres Cedex
92012,Boulogne-Billancourt,Boulogne-Billancourt,92,Hauts-de-Seine,3,48.8359758,2.240282,http://www.boulognebillancourt.com,,26 avenue André-Morizet,,92104,Boulogne-Billancourt Cedex
92025,Colombes,Colombes,92,Hauts-de-Seine,3,48.922676,2.2547662,http://www.colombes.fr,,Place de la République,,92701,Colombes Cedex
92062,Puteaux,Puteaux,92,Hauts-de-Seine,4,48.8844636,2.2380969,http://www.puteaux.fr,,131 rue de la République,,92800,Puteaux
92075,Vanves,Vanves,92,Hauts-de-Seine,3,48.8205251,2.2905065,http://www.vanves.fr,,33 rue Antoine Fratacci,CS 40001,92170,Vanves
93008,Bobigny,Bobigny,93,Seine-Saint-Denis,2,48.906598,2.4447215,http://www.bobigny.fr,,31 avenue du Président-Salvador-Allende,BP 80004,93009,Bobigny Cedex
93048,Montreuil,Montreuil,93,Seine-Saint-Denis,3,48.860395,2.441878,http://www.montreuil.fr,,,,,
